MaterialCode;PCB;SPCB;PCPAL;Короб;Вес;Высота;Объем;ABC;Zone;Alley;Class;Plant;Shelflife
100703;8;0;3456;432;518;163;1416;C;N;9;B;XY;50
100712;12;0;4032;336;520;161;1353;C;N;9;B;XY;35
100722;12;0;4032;336;520;161;1353;C;N;9;C;XY;35
101184;8;0;1728;216;569;155;1297;C;N;11;A;XY;40
106980;8;0;1728;216;569;155;1297;C;N;11;C;XY;40
106991;8;0;1728;216;569;155;1297;C;N;11;B;XY;39
106992;8;0;4096;512;496;155;1315;C;N;11;B;XY;39
109247;12;0;3024;252;504;142;1181;C;N;9;C;XY;35
111550;8;0;3456;432;518;163;1416;C;N;9;C;XY;45
113736;6;0;630;105;624;133;1026;C;N;3;A;XY;16
116180;8;0;2048;256;294;127;1046;C;N;11;C;XY;45
119901;20;0;900;45;427;105;630;C;N;7;C;XY;35
122165;9;0;2016;224;297;138;1138;C;N;9;B;XY;35
122169;9;0;2016;224;291;138;1138;C;N;9;B;XY;35
122309;6;0;1764;294;602;120;939;C;N;7;C;XY;45
122310;6;0;1764;294;602;120;939;C;N;7;B;XY;45
122311;6;0;630;105;607;133;1036;C;N;3;A;XY;45
122312;6;0;630;105;607;133;1036;C;N;3;B;XY;45
122503;6;0;630;105;607;135;1092;C;N;3;B;XY;35
123133;12;0;3240;270;275;124;1038;C;N;11;C;XY;50
123134;12;0;3240;270;275;124;1038;C;N;11;C;XY;45
125035;12;0;2880;240;352;159;1359;C;N;11;B;XY;40
128850;12;0;1824;152;400;138;1082;C;N;7;C;XY;30
130282;12;0;1440;120;410;180;1584;C;N;7;A;XY;35
130327;8;0;3072;384;460;166;1441;C;N;9;C;XY;40
133153;12;0;4032;336;520;161;1353;C;N;9;C;XY;35
133354;8;0;3456;432;518;163;1416;C;N;9;C;XY;45
139678;12;0;780;65;828;119;936;C;N;3;C;XY;308
140022;12;0;2880;240;352;159;1359;C;N;11;B;XY;40
141847;8;0;760;95;825;119;924;C;N;3;C;XY;308
143093;12;0;576;48;597;99;735;C;N;3;B;XY;120
144310;12;0;3024;252;504;142;1181;C;N;9;C;XY;35
151712;6;0;630;105;590;135;1039;C;N;3;A;XY;25
151829;24;0;2592;108;716;133;964;C;N;5;C;XY;365
151831;15;0;2700;180;731;133;1027;C;N;5;C;XY;365
151836;15;0;2100;140;566;107;798;C;N;5;C;XY;273
151837;12;0;780;65;825;119;936;C;N;3;C;XY;273
151853;15;0;2100;140;562;107;798;C;N;5;C;XY;273
153287;6;0;3120;520;726;115;903;C;N;5;B;XY;30
153290;6;0;3120;520;714;115;903;C;N;5;A;XY;35
153291;6;0;3120;520;726;115;903;C;N;5;C;XY;30
153292;6;0;3120;520;726;115;903;C;N;5;B;XY;30
153294;6;0;3120;520;708;115;903;C;N;5;A;XY;35
153705;8;0;3456;432;518;163;1416;C;N;9;C;XY;45
153706;10;0;2000;200;389;143;1101;C;N;7;C;XY;90
153707;10;0;2000;200;389;143;1101;C;N;7;C;XY;90
156584;12;0;3240;270;275;124;1038;C;N;11;C;XY;40
158265;12;0;576;48;597;99;735;C;N;3;A;XY;190
158859;12;0;3024;252;504;142;1181;C;N;9;C;XY;35
158884;12;0;3024;252;504;142;1181;C;N;9;C;XY;35
158947;6;0;2310;385;669;139;1111;C;N;7;C;XY;35
158948;6;0;2310;385;669;139;1111;C;N;7;C;XY;35
158951;6;0;2310;385;669;139;1111;C;N;7;B;XY;35
159082;6;0;2310;385;669;139;1111;C;N;7;C;XY;35
159329;6;0;1260;210;283;147;1161;C;N;7;C;XY;40
159330;6;0;1260;210;283;147;1161;C;N;7;C;XY;40
159584;6;0;1260;210;283;147;1161;C;N;7;C;XY;35
159585;6;0;1260;210;283;147;1161;C;N;7;B;XY;35
160046;6;0;384;64;609;126;1005;C;N;3;A;XY;14
160544;8;0;3456;432;518;163;1416;C;N;9;C;XY;60
160599;18;0;3312;184;754;113;862;C;N;5;C;XY;180
160600;18;0;3312;184;754;113;862;C;N;5;B;XY;180
160667;12;0;1920;160;398;175;1536;C;N;9;C;XY;35
161355;6;0;1764;294;510;123;848;C;N;7;C;XY;30
163962;8;0;3456;432;518;163;1416;C;N;9;B;XY;45
164901;12;0;780;65;624;115;938;C;N;3;A;XY;270
164902;12;0;780;65;620;115;938;C;N;3;B;XY;270
164949;27;0;2268;84;726;117;973;C;N;5;C;XY;180
164950;27;0;2268;84;726;117;973;C;N;5;C;XY;180
164969;12;0;3024;252;504;142;1181;C;N;9;C;XY;35
164970;12;0;3024;252;504;142;1181;C;N;9;C;XY;35
165230;12;0;624;52;664;116;956;C;N;3;B;XY;270
165717;12;0;624;52;659;116;956;C;N;3;B;XY;270
165722;12;0;624;52;664;116;956;C;N;3;B;XY;270
165732;12;0;624;52;667;116;956;C;N;3;A;XY;270
165734;12;0;624;52;667;116;956;C;N;3;B;XY;270
166887;12;0;2880;240;352;159;1359;C;N;11;C;XY;40
166941;12;0;720;60;586;115;866;C;N;3;C;XY;270
167345;6;0;1260;210;283;147;1161;C;N;7;C;XY;40
167505;6;0;1080;180;396;160;1387;C;N;11;B;XY;35
169561;6;0;1080;180;396;160;1387;C;N;11;B;XY;35
169568;6;0;630;105;590;135;1039;C;N;3;A;XY;35
169583;18;0;8892;494;416;158;1332;C;N;11;C;XY;35
169587;18;0;8892;494;416;158;1332;C;N;11;C;XY;35
169589;18;0;8892;494;416;158;1332;C;N;11;C;XY;35
170451;6;0;1764;294;602;120;939;C;N;7;C;XY;45
170452;6;0;630;105;607;133;1036;C;N;3;C;XY;45
170624;12;0;3024;252;504;142;1181;C;N;9;C;XY;35
170625;12;0;3024;252;504;142;1181;C;N;9;C;XY;35
170909;18;0;3312;184;754;113;862;C;N;5;C;XY;180
170910;18;0;3312;184;754;113;862;C;N;5;C;XY;180
170911;18;0;3312;184;754;113;862;C;N;5;C;XY;180
170912;18;0;3312;184;754;113;862;C;N;5;C;XY;180
171244;12;0;780;65;830;119;1365;C;N;3;C;XY;270
171494;8;0;3456;432;518;163;1416;C;N;9;C;XY;45
172466;6;0;1260;210;283;147;1161;C;N;7;C;XY;35
172573;8;0;4096;512;476;155;1315;C;N;11;C;XY;35
172713;12;0;1440;120;491;187;1656;C;N;7;A;XY;35
172714;12;0;1440;120;491;187;1656;C;N;7;A;XY;35
172715;12;0;1152;96;393;153;1324;C;N;7;A;XY;37
172716;12;0;1440;120;491;187;1656;C;N;7;A;XY;35
172986;6;0;2916;486;787;177;1459;C;N;11;B;XY;30
172987;6;0;2916;486;787;177;1459;C;N;11;A;XY;30
172988;6;0;2916;486;787;177;1459;C;N;11;A;XY;30
173091;8;0;3456;432;518;163;1416;C;N;9;C;XY;45
173411;12;0;2400;200;403;172;1512;C;N;7;C;XY;40
174146;12;0;576;48;590;99;735;C;N;3;B;XY;120
174147;12;0;576;48;614;95;720;C;N;3;C;XY;120
174800;12;0;4224;352;425;191;1520;C;N;11;C;XY;365
176071;18;0;8892;494;416;158;1332;C;N;11;C;XY;35
176180;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176182;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176183;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176184;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176185;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176186;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176187;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176188;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176189;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176190;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176201;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176202;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176203;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176204;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176205;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176206;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176207;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176209;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176210;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176212;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176213;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176215;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176216;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176217;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176218;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176219;6;0;6468;1078;808;138;1095;C;N;5;C;XY;730
176297;12;0;6336;528;781;142;1165;C;N;5;C;XY;730
176618;6;0;2112;352;373;153;1308;C;N;11;C;XY;45
176840;6;0;3120;520;726;115;903;C;N;5;C;XY;35
176841;6;0;3120;520;726;115;903;C;N;5;B;XY;30
176842;6;0;3120;520;726;115;903;C;N;5;B;XY;30
178014;12;0;2688;224;398;135;1155;C;N;9;B;XY;31
178015;12;0;1152;96;400;135;1152;C;N;7;A;XY;30
178016;12;0;2112;176;346;173;1520;C;N;9;C;XY;30
178018;12;0;2112;176;346;173;1520;C;N;9;C;XY;30
178557;12;0;3024;252;443;142;1181;C;N;9;A;XY;35
178577;12;0;3024;252;443;142;1181;C;N;9;C;XY;40
178617;8;0;3456;432;449;163;1416;C;N;11;A;XY;45
178618;8;0;3456;432;449;163;1416;C;N;11;B;XY;45
178699;9;0;2016;224;291;138;1138;C;N;9;C;XY;35
178711;12;0;624;52;667;116;956;C;N;3;B;XY;210
178712;12;0;780;65;623;115;938;C;N;3;C;XY;300
178743;8;0;3456;432;449;163;1416;C;N;11;C;XY;45
181202;8;0;3456;432;449;163;1416;C;N;11;B;XY;45
181546;12;0;780;65;790;127;1053;C;N;3;C;XY;270
181547;12;0;780;65;790;127;1053;C;N;3;C;XY;270
181548;12;0;780;65;790;127;1053;C;N;3;C;XY;270
181689;6;0;2112;352;360;153;1308;C;N;9;C;XY;45
181692;8;0;3456;432;449;163;1416;C;N;11;A;XY;45
183345;8;0;3456;432;449;163;1416;C;N;9;B;XY;35
183423;12;0;1560;130;583;98;770;C;N;5;C;XY;180
183424;12;0;1560;130;583;98;770;C;N;5;C;XY;180
183693;12;0;2880;240;352;159;1359;C;N;11;A;XY;40
185912;12;0;624;52;670;116;956;C;N;3;C;XY;500
186961;12;0;624;52;685;116;956;C;N;3;C;XY;300
186962;12;0;624;52;685;116;956;C;N;3;C;XY;270
187304;9;0;2205;245;629;140;1067;C;N;7;C;XY;35
187687;12;0;624;52;650;105;842;C;N;3;A;XY;180
188096;12;0;1440;120;776;122;1001;C;N;5;C;XY;270
188485;6;0;1344;224;448;152;1317;C;N;7;C;XY;40
188862;30;0;8970;299;330;181;1513;C;N;11;C;XY;45
188948;12;0;624;52;666;105;842;C;N;3;C;XY;120
189193;12;0;624;52;637;105;842;C;N;3;C;XY;120
189195;12;0;1440;120;776;122;1001;C;N;5;B;XY;100
189197;12;0;1440;120;776;122;1001;C;N;5;C;XY;120
189200;12;0;1440;120;776;122;1001;C;N;5;C;XY;120
189202;12;0;624;52;656;105;842;C;N;3;B;XY;120
189203;12;0;624;52;656;105;842;C;N;3;A;XY;100
189253;12;0;1440;120;776;122;1001;C;N;5;B;XY;180
189255;12;0;1440;120;776;122;1001;C;N;5;C;XY;180
189934;8;0;3456;432;449;163;1416;C;N;11;C;XY;45
189940;8;0;3456;432;449;163;1416;C;N;11;C;XY;45
189984;12;0;864;72;923;118;971;C;N;3;B;XY;120
190014;6;0;2880;480;426;144;1238;C;N;9;C;XY;30
190020;12;0;6144;512;677;183;1553;C;N;7;B;XY;35
190146;6;0;384;64;571;126;1005;C;N;3;A;XY;16
190373;18;0;3312;184;754;113;862;C;N;5;C;XY;120
190374;18;0;3312;184;754;113;862;C;N;5;C;XY;120
191312;12;0;6144;512;676;183;1553;C;N;7;C;XY;40
191360;8;0;2688;336;493;151;1301;C;N;9;B;XY;45
191605;8;0;2688;336;520;151;1301;C;N;9;C;XY;40
191606;8;0;2688;336;520;151;1301;C;N;9;B;XY;40
